origin_iata,origin_lon,origin_lat,dest_iata,dest_lon,dest_lat,total
BUF,-78.7295067,42.9397059,ORD,-87.9073214,41.9741625,122
DEN,-104.6737376,39.8560963,SAN,-117.1933038,32.7338006,122
MSP,-93.2222846,44.8847554,MEM,-89.9791729,35.0420679,122
OAK,-122.2197428,37.7125689,SLC,-111.9790706,40.7899404,122
ONT,-117.598057,34.0559781,PHX,-112.0077881,33.4372686,122
RDU,-78.7879963,35.88007899999999,PHL,-75.2424229,39.8743959,122
SEA,-122.3088165,47.4502499,OAK,-122.2197428,37.7125689,122
SFO,-122.3789554,37.6213129,MSP,-93.2222846,44.8847554,122
CVG,-84.6630165,39.0532746,BWI,-76.6683922,39.1774042,121
DEN,-104.6737376,39.8560963,RNO,-119.7680951,39.4995907,121
MKE,-87.89664599999999,42.9475534,MSP,-93.2222846,44.8847554,121
ORD,-87.9073214,41.9741625,CID,-91.70697539999999,41.8863861,121
ORD,-87.9073214,41.9741625,DCA,-77.04023149999999,38.851242,121
PDX,-122.5950942,45.58976939999999,SLC,-111.9790706,40.7899404,121
SAN,-117.1933038,32.7338006,SEA,-122.3088165,47.4502499,121
SFO,-122.3789554,37.6213129,AUS,-97.66635289999999,30.19747109999999,121
DTW,-83.3553842,42.2161722,BWI,-76.6683922,39.1774042,120
EWR,-74.1744624,40.6895314,DFW,-97.0403352,32.8998091,120
JFK,-73.77813909999999,40.6413111,MIA,-80.2870509,25.7958723,120
LAS,-115.1537389,36.0839998,PHX,-112.0077881,33.4372686,120
LAX,-118.40853,33.9415889,MEM,-89.9791729,35.0420679,120
LGA,-73.8739659,40.7769271,BOS,-71.0095602,42.3656132,120
MIA,-80.2870509,25.7958723,MCO,-81.308083,28.4311577,120
ORD,-87.9073214,41.9741625,DAY,-84.2217719,39.90252419999999,120
SAN,-117.1933038,32.7338006,DEN,-104.6737376,39.8560963,120
SAT,-98.4683484,29.5311973,DEN,-104.6737376,39.8560963,120
TPA,-82.5311382,27.9771524,PHL,-75.2424229,39.8743959,120
CLT,-80.9473146,35.2144026,DTW,-83.3553842,42.2161722,119
CLT,-80.9473146,35.2144026,PHL,-75.2424229,39.8743959,119
DEN,-104.6737376,39.8560963,BOI,-116.2223159,43.5658231,119
DEN,-104.6737376,39.8560963,PHL,-75.2424229,39.8743959,119
DTW,-83.3553842,42.2161722,MEM,-89.9791729,35.0420679,119
LAX,-118.40853,33.9415889,EWR,-74.1744624,40.6895314,119
LAX,-118.40853,33.9415889,SAN,-117.1933038,32.7338006,119
MEM,-89.9791729,35.0420679,DTW,-83.3553842,42.2161722,119
ONT,-117.598057,34.0559781,DEN,-104.6737376,39.8560963,119
PHL,-75.2424229,39.8743959,MEM,-89.9791729,35.0420679,119
PHL,-75.2424229,39.8743959,RDU,-78.7879963,35.88007899999999,119
BOI,-116.2223159,43.5658231,DEN,-104.6737376,39.8560963,118
DTW,-83.3553842,42.2161722,GRR,-85.5248434,42.8846633,118
IAH,-95.3367827,29.9902199,AUS,-97.66635289999999,30.19747109999999,118
MSP,-93.2222846,44.8847554,PHL,-75.2424229,39.8743959,118
PHL,-75.2424229,39.8743959,TPA,-82.5311382,27.9771524,118
SEA,-122.3088165,47.4502499,SMF,-121.5900648,38.6950854,118
STL,-90.374819,38.7499403,DEN,-104.6737376,39.8560963,118
ATL,-84.4277001,33.6407282,MSY,-90.2592299,29.9910905,117
BWI,-76.6683922,39.1774042,CVG,-84.6630165,39.0532746,117
EWR,-74.1744624,40.6895314,LAX,-118.40853,33.9415889,117
FAR,-96.8255648,46.9198612,MSP,-93.2222846,44.8847554,117
MCO,-81.308083,28.4311577,LAX,-118.40853,33.9415889,117
MSP,-93.2222846,44.8847554,STL,-90.374819,38.7499403,117
ORD,-87.9073214,41.9741625,IAD,-77.45653879999999,38.9531162,117
ORD,-87.9073214,41.9741625,MCO,-81.308083,28.4311577,117
PHX,-112.0077881,33.4372686,LAS,-115.1537389,36.0839998,117
TUL,-95.88386589999999,36.198778,DEN,-104.6737376,39.8560963,117
ATL,-84.4277001,33.6407282,CVG,-84.6630165,39.0532746,116
BNA,-86.67737129999999,36.126317,DTW,-83.3553842,42.2161722,116
DEN,-104.6737376,39.8560963,SAT,-98.4683484,29.5311973,116
DFW,-97.0403352,32.8998091,SEA,-122.3088165,47.4502499,116
IAD,-77.45653879999999,38.9531162,SFO,-122.3789554,37.6213129,116
MSP,-93.2222846,44.8847554,MCI,-94.7107786,39.2991181,116
ORD,-87.9073214,41.9741625,ORF,-76.2000161,36.8956837,116
ORD,-87.9073214,41.9741625,PDX,-122.5950942,45.58976939999999,116
PHL,-75.2424229,39.8743959,MSP,-93.2222846,44.8847554,116
RDU,-78.7879963,35.88007899999999,ATL,-84.4277001,33.6407282,116
ROC,-77.66657219999999,43.1225229,ORD,-87.9073214,41.9741625,116
DEN,-104.6737376,39.8560963,TUL,-95.88386589999999,36.198778,115
DFW,-97.0403352,32.8998091,CVG,-84.6630165,39.0532746,115
DSM,-93.6587958,41.5341333,DEN,-104.6737376,39.8560963,115
DTW,-83.3553842,42.2161722,CLT,-80.9473146,35.2144026,115
LAX,-118.40853,33.9415889,IAD,-77.45653879999999,38.9531162,115
MCI,-94.7107786,39.2991181,MSP,-93.2222846,44.8847554,115
SJC,-121.9289375,37.3639472,SEA,-122.3088165,47.4502499,115
DEN,-104.6737376,39.8560963,BNA,-86.67737129999999,36.126317,114
IAD,-77.45653879999999,38.9531162,LAX,-118.40853,33.9415889,114
LAS,-115.1537389,36.0839998,MSP,-93.2222846,44.8847554,114
MEM,-89.9791729,35.0420679,PHL,-75.2424229,39.8743959,114
MSP,-93.2222846,44.8847554,LAS,-115.1537389,36.0839998,114
MSP,-93.2222846,44.8847554,MKE,-87.89664599999999,42.9475534,114
ORD,-87.9073214,41.9741625,SYR,-76.1101888,43.1139301,114
ORF,-76.2000161,36.8956837,ORD,-87.9073214,41.9741625,114
PHX,-112.0077881,33.4372686,OAK,-122.2197428,37.7125689,114
SFO,-122.3789554,37.6213129,PHL,-75.2424229,39.8743959,114
ATL,-84.4277001,33.6407282,AUS,-97.66635289999999,30.19747109999999,113
BWI,-76.6683922,39.1774042,DTW,-83.3553842,42.2161722,113
CVG,-84.6630165,39.0532746,ATL,-84.4277001,33.6407282,113
DEN,-104.6737376,39.8560963,DSM,-93.6587958,41.5341333,113
DEN,-104.6737376,39.8560963,IAD,-77.45653879999999,38.9531162,113
DEN,-104.6737376,39.8560963,SMF,-121.5900648,38.6950854,113
