icao_code,iata_code,name,city,country,altitude,lat_decimal,lon_decimal,id
CYTL,YTL,N/A,BIG TROUT LAKE,CANADA,0,0,0,246
CYTR,YTR,TRENTON,TRENTON,CANADA,87,44.119,-77.528,247
CYTS,YTS,TIMMINS,TIMMINS,CANADA,295,48.57,-81.377,248
CYTZ,YTZ,CITY CENTRE,TORONTO,CANADA,77,43.627,-79.396,249
CYUA,N/A,N/A,SHINGLE POINT,CANADA,0,0,0,250
CYUB,YUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,5,69.433,-133.026,251
CYUC,N/A,N/A,NICHOLSON PENINSULAR,CANADA,0,0,0,252
CYUF,YUF,N/A,PELLY BAY,CANADA,0,0,0,253
CYUH,N/A,N/A,CLINTON POINT,CANADA,0,0,0,254
CYUI,N/A,N/A,CAPE YOUNG,CANADA,0,0,0,255
CYUJ,N/A,N/A,LADY FRANKLIN POINT,CANADA,0,0,0,256
CYUK,N/A,N/A,BYRON BAY,CANADA,0,0,0,257
CYUL,YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,36,45.468,-73.741,258
CYUQ,N/A,N/A,JENNY LIND ISLAND,CANADA,0,0,0,259
CYUR,N/A,N/A,GLADMAN POINT,CANADA,0,0,0,260
CYUS,N/A,N/A,SHEPHERD BAY,CANADA,0,0,0,261
CYUT,YUT,REPULSE BAY,REPULSE BAY,CANADA,25,66.521,-86.225,262
CYUX,YUX,HALL BEACH,HALL BEACH,CANADA,9,68.776,-81.244,263
CYUY,YUY,ROUYN NORANDA,ROUYN,CANADA,302,48.206,-78.836,264
CYVC,YVC,LA RONGE,LA RONGE,CANADA,379,55.151,-105.262,265
CYVG,YVG,VERMILION,VERMILLION,CANADA,618,53.356,-110.824,266
CYVM,YVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,7,67.546,-64.031,267
CYVN,N/A,N/A,CAPE DYER,CANADA,0,0,0,268
CYVO,YVO,VAL D OR,VAL D'OR,CANADA,338,48.053,-77.783,269
CYVP,YVP,KUUJJUAQ,QUUJJUAQ,CANADA,40,58.096,-68.427,270
CYVQ,YVQ,NORMAN WELLS,NORMAN WELLS,CANADA,74,65.282,-126.8,271
CYVR,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,5,49.195,-123.182,272
CYVT,YVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,441,55.842,-108.418,273
CYVV,YVV,WIARTON,WIARTON,CANADA,223,44.746,-81.107,274
CYWA,YWA,PETAWAWA,PETAWAWA,CANADA,131,45.952,-77.319,275
CYWG,YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,239,49.91,-97.234,276
CYWK,YWK,WABUSH,WABUSH,CANADA,552,52.922,-66.864,277
CYWL,YWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,941,52.183,-122.054,278
CYWO,N/A,N/A,LUPIN,CANADA,0,0,0,279
CYWR,N/A,N/A,WHITE RIVER,CANADA,0,0,0,280
CYWY,YWY,WRIGLEY,WRIGLEY,CANADA,151,63.209,-123.437,281
CYXC,YXC,CRANBROOK,CRANBROOK,CANADA,940,49.61,-115.782,282
CYXD,YXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,671,53.573,-113.521,283
CYXE,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,504,52.171,-106.7,284
CYXH,YXH,MEDICINE HAT,MEDICINE HAT,CANADA,717,50.019,-110.721,285
CYXI,N/A,N/A,KILLALOE,CANADA,0,0,0,286
CYXJ,YXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,695,56.238,-120.74,287
